feature,perm_importance_mean,perm_importance_std
offense_pct_r3,0.06879450403446268,0.005904617410355903
fantasy_points_ppr_r3,0.025597235040915364,0.004451961368526107
draft_pick_overall,0.01866807042706562,0.0056028840790247085
offense_pct_r5,0.01573599971724079,0.003284642978822872
fantasy_points_ppr_season_pre,0.013546611376774213,0.0030573339417100933
def_pass_epa_allowed_pre,0.009681533908281444,0.0018762343922456288
ngs_rush_rush_yards_over_expected_per_att_std_dev_pre,0.007496020199953013,0.0015650820380656311
team_implied_total,0.007076256699104403,0.0015871590564233043
offense_pct_season_pre,0.006397005248460874,0.002813370807697422
team_moneyline,0.005933287112462134,0.0024482975334438615
team_off_epa_per_play_pre,0.004669324218997484,0.0010305831364786156
fantasy_points_ppr_r5,0.003797973713851888,0.0010926668766278642
ngs_rush_rush_yards_over_expected_per_att_r5,0.002485136091246898,0.0006132946686797987
rz_carry_share_season_pre,0.0022304027314640875,0.0014072695808820144
team_plays_pre,0.0018632004365722358,0.0010979814297932108
yards_per_route_run_r3,0.0016326850744759738,0.0012267017767888906
rushing_epa_r3,0.0016317995274051237,0.0007112389126413622
routes_run_proxy_r3,0.0014739731023918048,0.0005951766090043546
depth_position,0.0012575251639225682,0.0005806101243835453
rushing_epa_r5,0.0012030033758111994,0.0002661649704855302
target_share_std_dev_pre,0.001155289609437323,0.0006497404828790808
ngs_rush_rush_yards_over_expected_per_att_season_pre,0.0011018593074025049,0.0008646709576075402
routes_run_proxy_r5,0.000951756168941668,0.0006279302672866243
rz_target_share_r3,0.0008060543542042369,0.0002264692889389206
target_per_route_r5,0.0007595058276630651,0.0004193625964634444
target_share_r3,0.0007098657763129123,0.00026943068813780263
target_per_route_std_dev_pre,0.0006575651386646989,0.0009786987593502887
receiving_epa_r5,0.0006113213074094329,0.00044578165177025915
receiving_epa_std_dev_pre,0.0005474990511320129,0.001232430360594008
practice_status,0.0005420089594876536,0.0001911916789426897
yards_per_route_run_r5,0.00048224463592172473,0.0003045974054220337
draft_round,0.0004655234891296637,0.00017754495950978588
receiving_epa_season_pre,0.0003876391903579579,0.001225149697998388
opp_rest_days,0.00034912697998527403,0.00017619115111754507
wopr_std_dev_pre,0.0003323298883331013,0.00018376050649054212
yards_per_route_run_season_pre,0.00025429942810890617,0.00045747150635700134
routes_run_proxy_season_pre,0.00020576386419626964,0.00020427579435162567
rushing_epa_season_pre,0.00018773460063178742,0.0002556137070492549
rz_carry_share_r3,0.00018598301775418029,0.00019601249752092734
target_share_season_pre,0.00015480369910932565,0.0006097020976851655
ngs_rush_rush_yards_over_expected_per_att_r3,9.711200475116902e-05,0.0008360505706868169
temp,9.103859415015385e-05,0.0024435553568842054
wopr_r3,8.93871893102786e-05,0.0005852239085805108
offense_pct_std_dev_pre,6.711987061894428e-05,0.0003183064180989593
rz_carry_share_r5,6.526301518028355e-05,0.0004025970295629494
target_share_r5,5.144984095960166e-05,0.0003452886169306358
air_yards_share_season_pre,3.963987821210176e-05,0.00014230200921172258
div_game,2.8918115703461626e-05,2.506552496485684e-05
spread_line,2.767716127282475e-05,0.0002919845222026736
passing_epa_season_pre,0.0,0.0
rest_days,0.0,0.0
passing_epa_r5,0.0,0.0
target_per_route_r3,0.0,0.0
passing_epa_r3,0.0,0.0
is_home,0.0,0.0
roof,-3.989731366031238e-06,0.00016181925774716454
surface,-4.4933767726148176e-05,0.00045697879994187405
total_line,-6.110909638240199e-05,0.00011366158600277641
wopr_r5,-9.098980871409997e-05,0.00043366600195569443
air_yards_share_r5,-0.00012768144675547876,0.0002090041262457641
wind,-0.00014607790402580237,0.00045874946926299234
target_per_route_season_pre,-0.00015322087872247093,0.0002871388070241786
receiving_epa_r3,-0.00016635898673618885,0.00040506988303164843
air_yards_share_std_dev_pre,-0.00017212073176834004,0.0016545475387024827
rz_target_share_season_pre,-0.00019376466792997427,0.0002165559205486287
rz_carry_share_std_dev_pre,-0.0002637304444705816,0.002053795385393309
def_epa_allowed_to_position_pre,-0.0003548894230246328,0.0007959069767776618
team_pass_rate_pre,-0.00039078366550426846,0.00074137336337826
rz_target_share_std_dev_pre,-0.00039857828848364194,0.00030377074993021046
rushing_epa_std_dev_pre,-0.00044618908382594303,0.00023198097969282997
wopr_season_pre,-0.0004792431296760435,0.00029334869938701594
def_rush_epa_allowed_pre,-0.000489551700990809,0.00046818476858670905
yards_per_route_run_std_dev_pre,-0.0006309445735252162,0.0007444717454586062
routes_run_proxy_std_dev_pre,-0.0006310015706824028,0.0005072819507573221
rz_target_share_r5,-0.0007041744971140629,0.0006398131049324526
fantasy_points_ppr_std_dev_pre,-0.0007422310843388699,0.00045687405798184287
air_yards_share_r3,-0.0009518883669035046,0.00043411865470665087
