feature,perm_importance_mean,perm_importance_std
target_share_season_pre,0.049794285847466195,0.003938567119542803
fantasy_points_ppr_season_pre,0.04150615286990114,0.004692776414063859
draft_pick_overall,0.014627361979519696,0.0022006918928485844
routes_run_proxy_r3,0.008064548486004271,0.0008775755410532218
offense_pct_r3,0.007012531225154994,0.0017133492671462514
wopr_r5,0.006453941054667404,0.0016162271862627043
depth_position,0.004427490968230126,0.001252310434052241
routes_run_proxy_season_pre,0.003677819600802645,0.0008776498648505304
wopr_season_pre,0.002639058116350353,0.0013973558515031161
routes_run_proxy_r5,0.0024492583888174805,0.0004933793420473763
ngs_rec_avg_separation_std_dev_pre,0.002366516787330686,0.0005078372240722321
wopr_r3,0.0018046332673494832,0.0007607588155555423
def_rush_epa_allowed_pre,0.0016907110855151582,0.0010126641661361044
total_line,0.0013561554106519195,0.0004903141919830161
offense_pct_r5,0.0012817361472648929,0.0009846433774026583
rushing_epa_r3,0.0012552029848931668,0.0008923838812680225
target_share_r3,0.001107210680273411,0.0004741607548376913
receiving_epa_season_pre,0.0010687374864629155,0.0014412922296101584
rz_target_share_std_dev_pre,0.0010427439639630665,0.0005674009635792365
team_implied_total,0.0009251384971984707,0.0021064648258211365
temp,0.0009249999185717857,0.0010539239847542434
yards_per_route_run_std_dev_pre,0.0007858252485638984,0.0002727879277820362
receiving_epa_r5,0.0007437703606252733,0.000314542990193256
fantasy_points_ppr_std_dev_pre,0.000710035867612587,0.0007561801570050667
air_yards_share_season_pre,0.0006398002094636813,0.0003485755658339755
target_share_r5,0.0005746416658288197,0.0002009449980387309
roof,0.0005728944814200609,0.0002544037355717427
routes_run_proxy_std_dev_pre,0.0005519740238333052,0.00030092306625222975
fantasy_points_ppr_r3,0.0004975421435106467,0.0002037521838822654
target_per_route_std_dev_pre,0.00046827852290606635,0.0003582001022472729
target_per_route_season_pre,0.00046794965991743266,0.00031240372203608896
receiving_epa_r3,0.00034933612433393584,0.00023890039907278164
wind,0.000328157388226639,0.00015515791635691226
fantasy_points_ppr_r5,0.00030493925639523876,0.0002906330649990129
passing_epa_r3,0.0002704711386337655,8.804190310116626e-05
air_yards_share_r5,0.000251734147358255,8.7485202978097e-05
offense_pct_std_dev_pre,0.00024887485501828475,0.0003463471421994042
report_status,0.00024170672645401254,0.00015915314578244312
rushing_epa_season_pre,0.00021792192038712818,0.00025633372090102694
yards_per_route_run_season_pre,0.0001731860300680251,0.00031441606522658735
yards_per_route_run_r5,0.00016368868967703659,0.000288587130126917
offense_pct_season_pre,0.00015395677681208456,0.0002689807270498854
def_pass_epa_allowed_pre,0.00010566181942961439,8.023868687179555e-05
practice_status,9.856574450040808e-05,0.00013597952314816172
rz_target_share_season_pre,9.298122686806446e-05,0.00011941334870519379
rushing_epa_r5,9.239091054166574e-05,0.00018202262934243797
opp_rest_days,8.469155660659014e-05,0.0004959226103900781
receiving_epa_std_dev_pre,8.213400199765796e-05,0.0002486523236114912
ngs_rec_avg_separation_r5,7.897524321919628e-05,4.1036984103488856e-05
wopr_std_dev_pre,6.710271787807957e-05,9.597215066080441e-05
team_plays_pre,5.445169847386004e-05,3.098879194454269e-05
passing_epa_season_pre,5.277408041379772e-05,6.041667476171183e-05
team_moneyline,4.9002840285801894e-05,9.253199966584404e-05
rz_target_share_r3,4.870546650511306e-05,0.00019130199606395774
yards_per_route_run_r3,3.15774326805629e-05,0.00017777981398044683
target_share_std_dev_pre,2.0387790575323213e-05,0.0002659163432953435
spread_line,1.8850879085197114e-05,0.00036520837284872493
def_epa_allowed_to_position_pre,7.1618193631772796e-06,0.00035282390547178955
div_game,0.0,0.0
draft_round,0.0,0.0
rz_carry_share_season_pre,0.0,0.0
rz_carry_share_r3,0.0,0.0
rz_carry_share_r5,0.0,0.0
passing_epa_std_dev_pre,0.0,0.0
rest_days,-1.708599573675418e-05,9.776959758430138e-05
passing_epa_r5,-2.9802461621845448e-05,4.600267663520174e-05
surface,-3.461105005258721e-05,4.096205864831862e-05
is_home,-7.37047209437088e-05,7.89312293010594e-05
team_pass_rate_pre,-8.096716655383584e-05,0.00022733699015442969
ngs_rec_avg_separation_r3,-8.978048958111866e-05,7.902031692383943e-05
target_per_route_r3,-0.00011448569495305556,0.0002557955457861882
rz_carry_share_std_dev_pre,-0.00013299868608758204,9.252704488753125e-05
rz_target_share_r5,-0.0001547951674894188,0.00019120994406932344
target_per_route_r5,-0.0002003365814518728,0.00012722830047727754
ngs_rec_avg_separation_season_pre,-0.0004220242902149396,0.00027346996445035425
rushing_epa_std_dev_pre,-0.00045205905385907,0.0005256330875247104
air_yards_share_std_dev_pre,-0.0008680574826384438,0.0004425673460438751
air_yards_share_r3,-0.0008804951367477499,0.0009310084594268919
team_off_epa_per_play_pre,-0.0013107024249279157,0.00032155386359866586
